RxnIndex,RxnID
Rxn2501,HISD
Rxn2504,HISTL
Rxn2525,HOXGh
Rxn2528,HP
Rxn2551,HSK
Rxn2552,HST
Rxn2591,HYNE
Rxn2596,I5NT
Rxn2599,ICDH_nad
Rxn2637,INSH
Rxn2640,IPMS
Rxn2641,IPPSh
Rxn2642,ISRH
Rxn2647,ITKPH
Rxn2648,ITKPK
Rxn2649,ITPA
Rxn2726,M5TAP
Rxn2732,MAAI
Rxn2733,MAGAH160
Rxn2734,MAGAH180
Rxn2735,MAGAH18111Z
Rxn2736,MAGAH1819Z
Rxn2743,MALCOAMT
Rxn2744,MALGLUth
Rxn2747,MALOAAth
Rxn2760,MCDC
Rxn2777,MCTC
Rxn2780,MDHCm
Rxn2819,MG1A
Rxn2820,MG1B
Rxn2821,MG2A
Rxn2822,MG2B
Rxn2829,MG3A
Rxn2830,MG3B
Rxn2833,MGDGD4DS1819Z1644Z7Z10Z13Z
Rxn2834,MGDGD4DS1829Z12Z1634Z7Z10Z
Rxn2835,MGDGD4DS1829Z12Z1644Z7Z10Z13Z
Rxn2836,MGDGD4DS1839Z12Z15Z1634Z7Z10Z
Rxn2837,MGDGD4DS1839Z12Z15Z1644Z7Z10Z13Z
Rxn2926,MHGS
Rxn2939,MITP
Rxn2957,MOPC
Rxn2958,MOTA
Rxn2974,MTAN
Rxn2983,N2PH
Rxn2984,NA1ATPaseh
Rxn2998,NADHOR_2m
Rxn3003,NADHtm
Rxn3008,NADPHth
Rxn3026,NADth
Rxn3076,NODOx
Rxn3077,NODOy
Rxn3080,NOS
Rxn3081,NOS1
Rxn3082,NOS2
Rxn3083,NPH
Rxn3086,NRS
Rxn3087,NTD1
Rxn3126,OGMG
Rxn3155,PAIL45PH18111Z160
Rxn3156,PAIL45PH1819Z160
Rxn3163,PAIL4PT18111Z160
Rxn3164,PAIL4PT1819Z160
Rxn3165,PAPA16018111Z
Rxn3166,PAPA1601819Z
Rxn3167,PAPA1601819Zh
Rxn3168,PAPA160h
Rxn3169,PAPA1801819Z
Rxn3170,PAPA1801819Zh
Rxn3171,PAPA181
Rxn3172,PAPA18111Z160h
Rxn3173,PAPA18111Z1819Z
Rxn3174,PAPA18111Z1819Zh
Rxn3175,PAPA1819Z160h
Rxn3176,PAPA1819Z1619Zh
Rxn3177,PAPA1819Z18111Z
Rxn3178,PAPA1819Z18111Zh
Rxn3179,PAPA1819Z1819Z
Rxn3180,PAPA1819Z1819Zh
Rxn3187,PBALm
Rxn3190,PCBOR
Rxn3207,PDCh
Rxn3260,PEPPIth
Rxn3262,PFK26
Rxn3269,PGD3TDS18111Z1613E
Rxn3270,PGD3TDS1819Z1613E
Rxn3271,PGD3TDS1829Z12Z1613E
Rxn3272,PGD3TDS1839Z12Z15Z1613E
Rxn3301,PGLh
Rxn3346,PGPP18111Z160h
Rxn3347,PGPP1819Z160h
Rxn3370,PINA1th
Rxn3385,PLDAGAT16018111Z1601
Rxn3386,PLDAGAT16018111Z1602
Rxn3387,PLDAGAT16018111Z18111Z1
Rxn3388,PLDAGAT16018111Z18111Z2
Rxn3389,PLDAGAT16018111Z18111Z3
Rxn3390,PLDAGAT16018111Z1819Z1
Rxn3391,PLDAGAT16018111Z1819Z2
Rxn3392,PLDAGAT16018111Z1819Z3
Rxn3393,PLDAGAT16018111Z1819Z4
Rxn3394,PLDAGAT1601819Z1601
Rxn3395,PLDAGAT1601819Z1602
Rxn3396,PLDAGAT1601819Z18111Z1
Rxn3397,PLDAGAT1601819Z18111Z2
Rxn3398,PLDAGAT1601819Z18111Z3
Rxn3399,PLDAGAT1601819Z1819Z1
Rxn3400,PLDAGAT1601819Z1819Z2
Rxn3401,PLDAGAT1601819Z1819Z3
Rxn3402,PLDAGAT1601819Z1819Z4
Rxn3403,PLDAGAT1801819Z1601
Rxn3404,PLDAGAT1801819Z1602
Rxn3405,PLDAGAT1801819Z18111Z1
Rxn3406,PLDAGAT1801819Z18111Z2
Rxn3407,PLDAGAT1801819Z18111Z3
Rxn3408,PLDAGAT1801819Z1819Z1
Rxn3409,PLDAGAT1801819Z1819Z2
Rxn3410,PLDAGAT1801819Z1819Z3
Rxn3411,PLDAGAT1801819Z1819Z4
Rxn3412,PLDAGAT18111Z18111Z1601
Rxn3413,PLDAGAT18111Z18111Z1602
Rxn3414,PLDAGAT18111Z18111Z18111Z1
Rxn3415,PLDAGAT18111Z18111Z18111Z2
Rxn3416,PLDAGAT18111Z18111Z18111Z3
Rxn3417,PLDAGAT18111Z18111Z1819Z1
Rxn3418,PLDAGAT18111Z18111Z1819Z2
Rxn3419,PLDAGAT18111Z18111Z1819Z3
Rxn3420,PLDAGAT18111Z18111Z1819Z4
Rxn3421,PLDAGAT18111Z1819Z1601
Rxn3422,PLDAGAT18111Z1819Z1602
Rxn3423,PLDAGAT18111Z1819Z18111Z1
Rxn3424,PLDAGAT18111Z1819Z18111Z2
Rxn3425,PLDAGAT18111Z1819Z18111Z3
Rxn3426,PLDAGAT18111Z1819Z1819Z1
Rxn3427,PLDAGAT18111Z1819Z1819Z2
Rxn3428,PLDAGAT18111Z1819Z1819Z3
Rxn3429,PLDAGAT18111Z1819Z1819Z4
Rxn3430,PLDAGAT1819Z18111Z1601
Rxn3431,PLDAGAT1819Z18111Z1602
Rxn3432,PLDAGAT1819Z18111Z18111Z1
Rxn3433,PLDAGAT1819Z18111Z18111Z2
Rxn3434,PLDAGAT1819Z18111Z18111Z3
Rxn3435,PLDAGAT1819Z18111Z1819Z1
Rxn3436,PLDAGAT1819Z18111Z1819Z2
Rxn3437,PLDAGAT1819Z18111Z1819Z3
Rxn3438,PLDAGAT1819Z18111Z1819Z4
Rxn3439,PLDAGAT1819Z1819Z1601
Rxn3440,PLDAGAT1819Z1819Z1602
Rxn3441,PLDAGAT1819Z1819Z18111Z1
Rxn3442,PLDAGAT1819Z1819Z18111Z2
Rxn3443,PLDAGAT1819Z1819Z18111Z3
Rxn3444,PLDAGAT1819Z1819Z1819Z1
Rxn3445,PLDAGAT1819Z1819Z1819Z2
Rxn3446,PLDAGAT1819Z1819Z1819Z3
Rxn3447,PLDAGAT1819Z1819Z1819Z4
Rxn3448,PLPSA21801819Z
Rxn3449,PLPSA21801829Z12Z
Rxn3450,PLPSA21801835Z9Z12Z
Rxn3451,PLPSA21801845Z9Z12Z15Z
Rxn3452,PLPSA218111Z1819Z
Rxn3453,PLPSA218111Z1829Z12Z
Rxn3454,PLPSA218111Z1835Z9Z12Z
